epoch,train_loss,val_loss,is_best,wall_clock_sec
1,0.008583040381173534,0.0028980296078020508,True,281.0
2,0.0062192765824978175,0.002673030835440726,True,570.2
3,0.00547225832097289,0.0023190586350731626,True,859.8
4,0.005097865018013378,0.0022821044221574675,True,1150.7
5,0.004836187694407098,0.0022792130419351524,True,1440.8
6,0.004613252212476879,0.00224273513609236,True,1730.6
7,0.004412481208275888,0.0022919898145172058,False,2020.3
8,0.004280670814386054,0.0021785981139367068,True,2310.0
9,0.004138056877659378,0.0022099703398885803,False,2599.7
10,0.004030614823174393,0.0021335953254325007,True,2889.6
11,0.003934225704683133,0.0021290355893213626,True,3179.4
12,0.003838107170879522,0.0021645707706694755,False,3469.4
13,0.003783009733870219,0.0020430643705976674,True,3759.3
14,0.0037054344279589886,0.0021359943242255344,False,4049.8
15,0.003649045308406961,0.002215591531689957,False,4339.6
16,0.00359777158694876,0.0021117810008468704,False,4629.4
17,0.003570325075424744,0.0021750178884316997,False,4919.6
18,0.003497540459610295,0.0019830677249170476,True,5208.8
19,0.0034682995339008543,0.0020145781482886344,False,5498.7
20,0.0034279888507870813,0.0020284134627871434,False,5788.7
21,0.0033770517178836235,0.002145123602460744,False,6078.3
22,0.003358716418214899,0.0022827419508881504,False,6368.0
23,0.003367252698320697,0.0021322592787752018,False,6657.7
24,0.0032754585324865767,0.002041150384031019,False,6948.6
25,0.0032945589406020636,0.0020657360725538825,False,7238.8
26,0.0032320769443212084,0.002136599838742715,False,7528.9
27,0.0031915444671707363,0.002489118524872273,False,7819.8
28,0.003184532928415693,0.0019980621653003165,False,8109.1
29,0.003145444817209015,0.002038741115824256,False,8399.4
30,0.003153821041935613,0.002136453989558645,False,8689.3
